"x" "y"
"1" 5.5598396 6.9708415
"2" 10.500464 26.747037
"3" 7.2773554 17.09002
"4" 11.517604 24.711083
"5" 6.9983672 17.572966
"6" 12.449827 27.206685
"7" 13.696816 23.686202
"8" 18.559439 37.307189
"9" 9.0293823 18.328491
"10" -0.6917764 -3.0436096
"11" 5.8020563 21.01463
"12" 16.772972 30.167297
"13" 4.6392236 7.8593719
"14" 14.804769 27.049516
"15" 10.620249 16.369436
"16" 17.183483 34.405769
"17" 0.1955 0.0206489
"18" 9.0115089 26.67338
"19" 3.9607726 7.6764214
"20" 24.54004 44.759013
"21" 14.126094 37.269475
"22" 16.89486 40.963116
"23" 4.7090987 9.2700652
"24" 7.6569221 8.7830457
"25" 8.637653 16.052167
"26" 15.492123 31.204541
"27" 8.6106403 19.601622
"28" 13.507707 26.709596
"29" -0.2590815 2.6989466
"30" 8.23075 19.420971
"31" 5.8820674 6.5107402
"32" 2.1147149 0.4896252
"33" 12.539873 22.374216
"34" 11.40992 21.280753
"35" 10.167399 19.731921
"36" 3.3316103 7.7255658
"37" 15.637461 7.1290361
"38" 11.750897 22.216721
"39" 8.5046698 24.221582
"40" 10.114449 15.895391
"41" 8.6900228 23.048686
"42" 1.2489382 5.2494813
"43" 8.5717451 17.998461
"44" 5.8431674 13.598596
"45" 5.1039685 3.3826569
"46" 4.2179917 9.013286
"47" 7.3322145 23.684161
"48" -0.0131787 1.4653815
"49" 14.821147 30.849162
"50" 12.600301 22.529755
